name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
f13,12/1/1975,2,Fire/Paramedic Lieutenant                         ,72820.81,2775.62,2775.62,75596.43,2,Fire/Paramedic Lieutenant                         ,73549.02,2100.14,2100.14,75649.16,2,Fire/Paramedic Lieutenant                         ,73549.02,102,102,73651.02,2,Fire/Paramedic Lieutenant                         ,73549.02,102,102,73651.02,2,Fire/Paramedic Lieutenant                         ,73549.02,644.49,644.49,74193.51,2,Fire/Paramedic Lieutenant                         ,76021.1,655.44,655.44,76676.54
f14,12/1/1975,2,Fire Captain                                      ,77634.69,7053.18,7053.18,84687.87,2,Fire Captain                                      ,80371.78,6108.21,6108.21,86479.99,2,Fire Captain                                      ,80371.78,2128.28,2128.28,82500.06,2,Fire Captain                                      ,80371.78,3280.17,3280.17,83651.95,2,Fire Captain                                      ,80371.78,2172.71,2172.71,82544.49,2,Fire Captain                                      ,83254.94,6357.89,6357.89,89612.83
f15,12/1/1975,2,Fire Captain                                      ,77634.69,1551.66,1551.66,79186.35,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f16,6/14/1976,2,Firefighter EMT-P                                 ,65707.53,6472.98,6472.98,72180.51,2,Firefighter EMT-P                                 ,66364.61,9925.96,9925.96,76290.57,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f17,1/1/1978,2,Fire Inspector                                    ,65707.53,5117.54,5117.54,70825.07,2,Fire Inspector                                    ,66364.61,191.43,191.43,66556.04,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f18,2/27/1978,2,N/A,0,0,NaN,0,2,Battalion Fire Chief                              ,84739.07,1002.21,1002.21,85741.28,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,Battalion Fire Chief                              ,0,0,NaN,0
f19,7/1/1978,2,Fire Inspector                                    ,62538.9,1111.77,1111.77,63650.67,2,Fire Inspector                                    ,64746.21,1056.04,1056.04,65802.25,2,Fire Inspector                                    ,64746.21,2700.55,2700.55,67446.76,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f20,1/2/1979,2,Fire Captain                                      ,77634.69,7655.74,7655.74,85290.43,2,Fire Captain                                      ,80371.78,4471.4,4471.4,84843.18,2,Fire Captain                                      ,80371.78,3613.26,3613.26,83985.04,2,Fire Captain                                      ,80371.78,584.51,584.51,80956.29,2,Fire Captain                                      ,80371.78,2771.92,2771.92,83143.7,2,Fire Captain                                      ,83436.84,4741.45,4741.45,88178.29
f21,1/22/1979,2,Fire Captain                                      ,77634.69,22326.36,22326.36,99961.05,2,Fire Captain                                      ,80371.78,23734.39,23734.39,104106.17,2,Fire Captain                                      ,80371.78,27204.69,27204.69,107576.47,2,Fire Captain                                      ,80371.78,7565.56,7565.56,87937.34,2,Fire Captain                                      ,80371.78,5601.51,5601.51,85973.29,2,N/A,0,0,NaN,0
f22,1/22/1979,2,Firefighter EMT-P                                 ,65707.53,10081.46,10081.46,75788.99,2,Firefighter EMT-P                                 ,66364.61,3890.16,3890.16,70254.77,2,Firefighter EMT-P                                 ,66364.61,1288.51,1288.51,67653.12,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f23,3/16/1979,2,Firefighter EMT                                   ,48929.31,2147.11,2147.11,51076.42,2,Firefighter EMT                                   ,49418.6,631.95,631.95,50050.55,2,Firefighter EMT                                   ,49418.6,109.66,109.66,49528.26,2,Firefighter EMT                                   ,49418.6,1316.93,1316.93,50735.53,2,Firefighter EMT                                   ,49418.6,4572.24,4572.24,53990.84,2,Firefighter EMT                                   ,50743.95,6631.38,6631.38,57375.33
f24,7/2/1979,2,Fire Inspector                                    ,65707.53,12757.45,12757.45,78464.98,2,Fire Inspector                                    ,66364.61,8014.21,8014.21,74378.82,2,Fire Inspector                                    ,66364.61,8015.63,8015.63,74380.24,2,N/A,0,0,NaN,0,2,Fire Inspector                                    ,66364.61,6936.78,6936.78,73301.39,2,N/A,0,0,NaN,0
f25,7/2/1979,2,Fire/Paramedic Lieutenant                         ,72820.81,9749.88,9749.88,82570.69,2,Fire/Paramedic Lieutenant                         ,73549.02,27715.56,27715.56,101264.58,2,Fire/Paramedic Lieutenant                         ,73549.02,13715.24,13715.24,87264.26,2,Fire/Paramedic Lieutenant                         ,73549.02,1494.98,1494.98,75044,2,Fire/Paramedic Lieutenant                         ,73549.02,5486.77,5486.77,79035.79,2,Fire/Paramedic Lieutenant                         ,76853.43,8972.6,8972.6,85826.03
f26,11/16/1979,2,Firefighter EMT                                   ,48929.31,2198.57,2198.57,51127.88,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f27,11/16/1979,2,Fire Captain                                      ,75740.68,33482.8,33482.8,109223.48,2,Fire Captain                                      ,78411.04,28711.35,28711.35,107122.39,2,Fire Captain                                      ,80371.78,34158.81,34158.81,114530.59,2,Fire Captain                                      ,80371.78,21474.27,21474.27,101846.05,2,Fire Captain                                      ,80371.78,8434.03,8434.03,88805.81,2,Fire Captain                                      ,82709.44,19967.65,19967.65,102677.09
f28,11/16/1979,2,Fire Captain                                      ,72090,13149.32,13149.32,85239.32,2,Fire Captain                                      ,74631.74,10932.76,10932.76,85564.5,2,Fire Captain                                      ,76498.09,2141.94,2141.94,78640.03,2,Fire Captain                                      ,76498.09,3359.81,3359.81,79857.9,2,Fire Captain                                      ,76498.09,2721.57,2721.57,79219.66,2,Fire Captain                                      ,79069.08,8519.57,8519.57,87588.65
f29,11/16/1979,2,Firefighter EMT-Enhanced                          ,54007.82,4563.65,4563.65,58571.47,2,Firefighter EMT-Enhanced                          ,54547.9,5490.09,5490.09,60037.99,2,Firefighter EMT-Enhanced                          ,55911.6,25039.76,25039.76,80951.36,2,Firefighter EMT-Enhanced                          ,55911.6,9224.82,9224.82,65136.42,2,Fire Inspector                                    ,61625.42,13070.03,13070.03,74695.45,2,Fire Inspector                                    ,44445.61,7481.96,7481.96,51927.57
f30,11/16/1979,2,Fire Lieutenant                                   ,61258.44,5498.3,5498.3,66756.74,2,Fire Lieutenant                                   ,63416.67,21157.82,21157.82,84574.49,2,Fire Lieutenant                                   ,65002.1,716.34,716.34,65718.44,2,Fire Lieutenant                                   ,65002.1,72.12,72.12,65074.22,2,Fire Lieutenant                                   ,65002.1,4103.37,4103.37,69105.47,2,Fire Lieutenant                                   ,66917.08,2192.9,2192.9,69109.98
f31,11/16/1979,2,Fire Inspector                                    ,59526.61,11808.84,11808.84,71335.45,2,Fire Inspector                                    ,61625.42,13549.92,13549.92,75175.34,2,Fire Inspector                                    ,63164.29,20657.42,20657.42,83821.71,2,Fire Inspector                                    ,63164.29,13231.18,13231.18,76395.47,2,Fire Inspector                                    ,63164.29,19243.12,19243.12,82407.41,2,Fire Inspector                                    ,64430.16,20392.22,20392.22,84822.38
f32,3/10/1980,2,Firefighter EMT-P                                 ,65707.53,3986.55,3986.55,69694.08,2,Firefighter EMT-P                                 ,66364.61,2602.96,2602.96,68967.57,2,Firefighter EMT-P                                 ,66364.61,641.01,641.01,67005.62,2,Firefighter EMT-P                                 ,66364.61,414.8,414.8,66779.41,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f33,5/1/1980,2,Fire Captain                                      ,70332.24,8066.63,8066.63,78398.87,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f34,5/1/1980,2,Firefighter EMT-Enhanced                          ,54007.82,2633.43,2633.43,56641.25,2,Firefighter EMT-Enhanced                          ,54547.9,3538.66,3538.66,58086.56,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f35,5/1/1980,2,Fire Captain                                      ,70332.24,8421.39,8421.39,78753.63,2,Fire Captain                                      ,72810.9,3600.42,3600.42,76411.32,2,Fire Captain                                      ,74631.74,2306.18,2306.18,76937.92,2,Battalion Fire Chief                              ,82672.57,428.04,428.04,83100.61,2,Battalion Fire Chief                              ,82672.57,458.61,458.61,83131.18,2,Battalion Fire Chief                              ,84329.13,467.78,467.78,84796.91
f36,11/17/1980,2,Firefighter EMT-Enhanced                          ,54007.82,2789.15,2789.15,56796.97,2,Firefighter EMT-Enhanced                          ,54547.9,1427.72,1427.72,55975.62,2,Firefighter EMT-Enhanced                          ,55911.6,2137.79,2137.79,58049.39,2,Firefighter EMT-Enhanced                          ,55911.6,753.95,753.95,56665.55,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f37,11/17/1980,2,Firefighter EMT                                   ,48929.31,3461.33,3461.33,52390.64,2,Firefighter EMT                                   ,49418.6,4244.91,4244.91,53663.51,2,Firefighter EMT                                   ,49418.6,3543.16,3543.16,52961.76,2,Firefighter EMT                                   ,49418.6,2281.7,2281.7,51700.3,2,Firefighter EMT                                   ,49418.6,1975.13,1975.13,51393.73,2,Firefighter EMT                                   ,50520.25,2924.88,2924.88,53445.13
f38,11/17/1980,2,Assistant Fire Marshal                            ,64358.51,2933.52,2933.52,67292.03,2,Assistant Fire Marshal                            ,66627.32,2540.86,2540.86,69168.18,2,Assistant Fire Marshal                            ,68293.48,2289.22,2289.22,70582.7,2,Assistant Fire Marshal                            ,68293.48,2295.36,2295.36,70588.84,2,Assistant Fire Marshal                            ,68293.48,2902.51,2902.51,71195.99,2,Assistant Fire Marshal                            ,69661.92,2338.84,2338.84,72000.76
f39,11/17/1980,2,Firefighter EMT                                   ,48929.31,3671.99,3671.99,52601.3,2,Firefighter EMT                                   ,49418.6,3161.31,3161.31,52579.91,2,Firefighter EMT                                   ,49418.6,2408.87,2408.87,51827.47,2,Firefighter EMT                                   ,49418.6,1586.58,1586.58,51005.18,2,Firefighter EMT                                   ,49418.6,667.53,667.53,50086.13,2,Firefighter EMT                                   ,0,0,NaN,0
f40,11/17/1980,2,Battalion Fire Chief                              ,74155.19,1029.09,1029.09,75184.28,2,Battalion Fire Chief                              ,76768.78,640.22,640.22,77409,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,Assistant Fire Chief                              ,0,0,NaN,0
f41,2/2/1981,2,Firefighter EMT-Enhanced                          ,54007.82,13631.7,13631.7,67639.52,2,Firefighter EMT-Enhanced                          ,54547.9,14224.34,14224.34,68772.24,2,Firefighter EMT-Enhanced                          ,55911.6,18265.52,18265.52,74177.12,2,Firefighter EMT-Enhanced                          ,55911.6,9964.75,9964.75,65876.35,2,Firefighter EMT-Enhanced                          ,55911.6,10190.11,10190.11,66101.71,2,Firefighter EMT-Enhanced                          ,58549.98,14541.07,14541.07,73091.05
f42,4/1/1981,2,Firefighter EMT-Enhanced                          ,41161.8,11391.98,11391.98,52553.78,2,Firefighter EMT-Enhanced                          ,43678.58,11387.92,11387.92,55066.5,2,Firefighter EMT-Enhanced                          ,44770.4,9439.63,9439.63,54210.03,2,Firefighter EMT-Enhanced                          ,44770.4,7394.01,7394.01,52164.41,2,Firefighter EMT-Enhanced                          ,44770.4,9003.79,9003.79,53774.19,2,Firefighter EMT-Enhanced                          ,46072.52,12279.97,12279.97,58352.49
f43,5/1/1981,2,Firefighter EMT-Enhanced                          ,54007.82,3017.91,3017.91,57025.73,2,Firefighter EMT-Enhanced                          ,54547.9,3969.79,3969.79,58517.69,2,Firefighter EMT-Enhanced                          ,55911.6,3324.4,3324.4,59236,2,Firefighter EMT-Enhanced                          ,55911.6,449.34,449.34,56360.94,2,Firefighter EMT-Enhanced                          ,55911.6,1488.83,1488.83,57400.43,2,Firefighter EMT-Enhanced                          ,57537.62,2571.3,2571.3,60108.92
f44,5/1/1981,2,Firefighter EMT-Enhanced                          ,54007.82,6624.45,6624.45,60632.27,2,Firefighter EMT-Enhanced                          ,54547.9,4506.22,4506.22,59054.12,2,Firefighter EMT-Enhanced                          ,55911.6,4110.69,4110.69,60022.29,2,Firefighter EMT-Enhanced                          ,55911.6,2424.58,2424.58,58336.18,2,Firefighter EMT-Enhanced                          ,55911.6,1290.28,1290.28,57201.88,2,Firefighter EMT-Enhanced                          ,57606.17,1239.65,1239.65,58845.82
f45,5/1/1981,2,Firefighter EMT-Enhanced                          ,54007.82,5158.39,5158.39,59166.21,2,Firefighter EMT-Enhanced                          ,54547.9,3846.33,3846.33,58394.23,2,Firefighter EMT-Enhanced                          ,55911.6,756.83,756.83,56668.43,2,Firefighter EMT-Enhanced                          ,55911.6,1490.28,1490.28,57401.88,2,Firefighter EMT-Enhanced                          ,55911.6,1445.87,1445.87,57357.47,2,Firefighter EMT-Enhanced                          ,57284.53,1121.64,1121.64,58406.17
f46,9/1/1981,2,Firefighter EMT                                   ,48929.31,4173.28,4173.28,53102.59,2,Firefighter EMT                                   ,49418.6,3774.01,3774.01,53192.61,2,Firefighter EMT                                   ,49418.6,2775.43,2775.43,52194.03,2,Firefighter EMT                                   ,49418.6,1595.72,1595.72,51014.32,2,Firefighter EMT                                   ,49418.6,1935.91,1935.91,51354.51,2,Firefighter EMT                                   ,51079.5,3209.18,3209.18,54288.68
f47,9/1/1981,2,Firefighter EMT                                   ,48929.31,4547.21,4547.21,53476.52,2,Firefighter EMT                                   ,49418.6,2850.13,2850.13,52268.73,2,Firefighter EMT                                   ,49418.6,2513.68,2513.68,51932.28,2,Firefighter EMT                                   ,49418.6,1437.18,1437.18,50855.78,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f48,9/1/1981,2,Firefighter EMT                                   ,48929.31,36.19,36.19,48965.5,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f49,9/1/1981,2,Fire Captain                                      ,68617.25,4642.11,4642.11,73259.36,2,Fire Captain                                      ,71035.56,6774.4,6774.4,77809.96,2,Fire Captain                                      ,72810.9,70.01,70.01,72880.91,2,Fire Captain                                      ,72810.9,459.07,459.07,73269.97,2,Fire Captain                                      ,72810.9,317.22,317.22,73128.12,2,N/A,0,0,NaN,0
f50,11/2/1981,2,Firefighter EMT-P                                 ,50077.89,15867.29,15867.29,65945.18,2,Firefighter EMT-P                                 ,51843.36,18866.59,18866.59,70709.95,2,Firefighter EMT-P                                 ,53139.9,12787.13,12787.13,65927.03,2,Firefighter EMT-P                                 ,53139.9,3451.53,3451.53,56591.43,2,Firefighter EMT-P                                 ,53139.9,3612.22,3612.22,56752.12,2,Firefighter EMT-P                                 ,55766.43,24828.21,24828.21,80594.64
f51,1/25/1982,2,Fire Captain                                      ,72090,27011.15,27011.15,99101.15,2,Fire Captain                                      ,74631.74,24923.66,24923.66,99555.4,2,Fire Captain                                      ,76498.09,337.2,337.2,76835.29,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,Battalion Fire Chief                              ,0,0,NaN,0
f52,4/1/1982,2,Assistant Fire Marshal                            ,64358.51,8431.87,8431.87,72790.38,2,Assistant Fire Marshal                            ,66627.32,8422.36,8422.36,75049.68,2,Assistant Fire Marshal                            ,68293.48,11503.91,11503.91,79797.39,2,Assistant Fire Marshal                            ,68293.48,4001.27,4001.27,72294.75,2,Assistant Fire Marshal                            ,68293.48,8262.46,8262.46,76555.94,2,Assistant Fire Marshal                            ,73460.71,5891.1,5891.1,79351.81
f53,5/3/1982,2,Firefighter EMT-Enhanced                          ,54007.82,2516.79,2516.79,56524.61,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f54,5/3/1982,2,Fire Lieutenant                                   ,67617.31,2140.9,2140.9,69758.21,2,Fire Lieutenant                                   ,70000.61,5549.28,5549.28,75549.89,2,Fire Lieutenant                                   ,70000.61,6341.28,6341.28,76341.89,2,Fire Lieutenant                                   ,70000.61,2275.21,2275.21,72275.82,2,Fire Lieutenant                                   ,70000.61,885.88,885.88,70886.49,2,Fire Lieutenant                                   ,0,0,NaN,0
f55,5/3/1982,2,Firefighter EMT-Enhanced                          ,54007.82,2728.8,2728.8,56736.62,2,Firefighter EMT-Enhanced                          ,54547.9,1376.93,1376.93,55924.83,2,Firefighter EMT-Enhanced                          ,55911.6,825.58,825.58,56737.18,2,N/A,0,0,NaN,0,2,Firefighter EMT-Enhanced                          ,55911.6,455.86,455.86,56367.46,2,Fire Lieutenant                                   ,63670.54,1727.85,1727.85,65398.39
f56,5/3/1982,2,Firefighter EMT-Enhanced                          ,54007.82,8650.73,8650.73,62658.55,2,Firefighter EMT-Enhanced                          ,54547.9,5276.97,5276.97,59824.87,2,Firefighter EMT-Enhanced                          ,55911.6,3659.68,3659.68,59571.28,2,Firefighter EMT-Enhanced                          ,55911.6,3180.03,3180.03,59091.63,2,Firefighter EMT-Enhanced                          ,55911.6,2525.96,2525.96,58437.56,2,Firefighter EMT-Enhanced                          ,57917.26,3255.23,3255.23,61172.49
f57,9/1/1982,2,Battalion Fire Chief                              ,70581.72,104.35,104.35,70686.07,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,Deputy Fire Chief                                 ,0,0,NaN,0
f58,9/1/1982,2,Battalion Fire Chief                              ,77909.45,88.6,88.6,77998.05,2,N/A,0,0,NaN,0,2,Battalion Fire Chief                              ,82672.57,183.44,183.44,82856.01,2,N/A,0,0,NaN,0,2,Battalion Fire Chief                              ,82672.57,91.72,91.72,82764.29,2,Battalion Fire Chief                              ,0,0,NaN,0
f59,9/1/1982,2,Firefighter EMT-Enhanced                          ,51405.52,4098.25,4098.25,55503.77,2,Firefighter EMT-Enhanced                          ,53217.25,3420.68,3420.68,56637.93,2,Firefighter EMT-Enhanced                          ,54547.9,2766.68,2766.68,57314.58,2,Firefighter EMT-Enhanced                          ,54547.9,1073.44,1073.44,55621.34,2,Firefighter EMT-Enhanced                          ,54547.9,60.52,60.52,54608.42,2,Firefighter EMT-Enhanced                          ,0,0,NaN,0
f60,2/1/1983,2,Firefighter EMT                                   ,48929.31,1281.3,1281.3,50210.61,2,Firefighter EMT                                   ,49418.6,973.88,973.88,50392.48,2,Firefighter EMT                                   ,49418.6,667.53,667.53,50086.13,2,Firefighter EMT                                   ,49418.6,976.74,976.74,50395.34,2,Firefighter EMT                                   ,49418.6,976.75,976.75,50395.35,2,N/A,0,0,NaN,0
f61,2/1/1983,2,Firefighter EMT-P                                 ,65707.53,10356.67,10356.67,76064.2,2,Firefighter EMT-P                                 ,66364.61,16895.7,16895.7,83260.31,2,Firefighter EMT-P                                 ,66364.61,7445.29,7445.29,73809.9,2,Firefighter EMT-P                                 ,66364.61,3619.28,3619.28,69983.89,2,Firefighter EMT-P                                 ,66364.61,147.81,147.81,66512.42,2,Firefighter EMT-P                                 ,0,0,NaN,0
f62,2/1/1983,2,Firefighter EMT                                   ,48929.31,697.9,697.9,49627.21,2,Firefighter EMT                                   ,49418.6,1576.79,1576.79,50995.39,2,Firefighter EMT                                   ,49418.6,2587.94,2587.94,52006.54,2,Firefighter EMT                                   ,49418.6,2188.56,2188.56,51607.16,2,Firefighter EMT                                   ,49418.6,1004.47,1004.47,50423.07,2,Firefighter EMT                                   ,51191.35,995.42,995.42,52186.77
f63,2/1/1983,2,Firefighter EMT-Enhanced                          ,54007.82,5926.67,5926.67,59934.49,2,Firefighter EMT-Enhanced                          ,54547.9,1010.53,1010.53,55558.43,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f64,2/1/1983,2,Firefighter EMT-Enhanced                          ,54007.82,1784.5,1784.5,55792.32,2,Firefighter EMT-Enhanced                          ,54547.9,1643.08,1643.08,56190.98,2,Firefighter EMT-Enhanced                          ,55911.6,98.22,98.22,56009.82,2,Firefighter EMT-Enhanced                          ,55911.6,62.03,62.03,55973.63,2,Firefighter EMT-Enhanced                          ,55911.6,62.03,62.03,55973.63,2,Firefighter EMT-Enhanced                          ,0,0,NaN,0
f65,2/1/1983,2,Firefighter EMT                                   ,48929.31,1359.41,1359.41,50288.72,2,Firefighter EMT                                   ,49418.6,1660.83,1660.83,51079.43,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f66,5/2/1983,2,Fire Captain                                      ,75740.68,23196.95,23196.95,98937.63,2,Fire Captain                                      ,78411.04,18431.56,18431.56,96842.6,2,Fire Captain                                      ,80371.78,10049.98,10049.98,90421.76,2,Fire Captain                                      ,80371.78,6332.86,6332.86,86704.64,2,Fire Captain                                      ,80371.78,3612.38,3612.38,83984.16,2,Fire Captain                                      ,82709.22,6889.89,6889.89,89599.11
f67,5/2/1983,2,Fire Captain                                      ,72090,7008.69,7008.69,79098.69,2,Fire Captain                                      ,74631.74,4186.91,4186.91,78818.65,2,Fire Captain                                      ,76498.09,2501.37,2501.37,78999.46,2,Fire Captain                                      ,76498.09,3019.1,3019.1,79517.19,2,Fire Captain                                      ,76498.09,628,628,77126.09,2,Battalion Fire Chief                              ,86433.84,95.9,95.9,86529.74
f68,5/2/1983,2,Fire Captain                                      ,73892.81,7730.3,7730.3,81623.11,2,Fire Captain                                      ,76498.09,15369.83,15369.83,91867.92,2,Fire Captain                                      ,78411.04,14277.48,14277.48,92688.52,2,Fire Captain                                      ,78411.04,3484.51,3484.51,81895.55,2,Fire Captain                                      ,78411.04,2749.12,2749.12,81160.16,2,Fire Captain                                      ,25721.47,1029.98,1029.98,26751.45
f69,5/2/1983,2,Fire Lieutenant                                   ,69307.53,7519.15,7519.15,76826.68,2,Fire Lieutenant                                   ,70000.61,12447.17,12447.17,82447.78,2,Fire Lieutenant                                   ,70000.61,7190.25,7190.25,77190.86,2,Fire Captain                                      ,74631.74,3393.1,3393.1,78024.84,2,Fire Captain                                      ,74631.74,3028.52,3028.52,77660.26,2,Fire Captain                                      ,76127.28,16509.44,16509.44,92636.72
